5082,17,325
1526,35,5411
1526,35,5411
0710C,2,10
931,21,3130
1738,8,1239
3507,40,1455
3076A,10,45
3570,95,588
1466,42,3341
1344,15,1336
1344,15,1338
3608,60,3659
3608,60,3677
1030,32,3051
3589,108,777
3590,33,2217
3590,33,2221
1256,19,701
872,7,1998
3504,44,1663
1909,5,1627
310,22,117
2416,002B,2571
918,002O,3420
5375,59,701
7006,19,408
0417A,3,451
4912,6,6025
1507,42,529
2823A,4,62
3732,88,453
2503A,41,2329
3642,36,810
7104,001A,443
1048,43,2734
1048,44,2736
7519,14,865
3706,96,55
2765,12,4268
1781,6,1335
1781,6,1337
2649,1,2
3564,37,21
3564,37,23
3564,37,21
775,14,1376
5710,13,67
2388,015A,3620
5358,005A,5118
5358,005A,5122
2635,47,470
1861A,13,1157
0438A,4,3769
0438A,4,3771
3011,24,121
4173,1,2569
124,53,1362
3552,27,1471
1880,29,1574
2691,11,36
2691,11,38
3788,12,178
3076,55,141
224,56,10
251,12,1262
248,6,1109
248,6,1123
1305,17,50
260,10,300
718,14,951
267,10,114
3608,7,970
3608,8,978
1444,018A,4800
2777,9,3851
6331,17,225
500,20,2726
264,4,1
1082,17,2613
2989B,31,115
1737,8,1200
90,16,1932
1131,008B,77
1737,12,1241
3574,90,3153
42,22,2450
5431A,001F,200
954,31,2732
6756,11,2
832,8,250
830,29,511
543,10,1830
3706,95,55
1532,45,4801
567,83,1998
288,30,130
3722,270,188
1760,15,1359
348,17,255
2977,18,145
7049,24,230
3702,54,1155
1225,20,1778
2354,9,1508
1293,001A,26
142,1,855
1769,43,1310
3610,29,2417
1769,43,1312
303,16,861
292,2,1
477,5,2701
303,16,861
3587,112,79
5318,46,2065
260,10,300
797,5,741
179,12,826
303,16,861
972,13,3377
576,79,1749
1191,43,420
31,3,350
4208,20,2866
2204,24,2122
1641,11,645
77,13,520
3706,64,717
6722,19,65
1529,1,411
2022,018C,1790
1529,1,411
2649,8,52
1529,1,411
2047,57,1855
3556,30,261
922,27,3444
6615,8,1546
3707,52,2
3556,30,261
6595,9,1539
3589,19,3416
28,006B,668
3511,66,1043
918,003D,2265
742,15,710
5337,10,43
3601,57,637
1939,1,1315
196,8,700
1235,019A,1295
